dataset,model,seed,f1,precision,recall,accuracy,training_time_sec,inference_time_sec
SKAB,Automata,42,0.19409394952873216,0.11226155305102675,1.0,0.1625,0.012220561504364014,0.2911127209663391
SKAB,Automata,123,0.19409394952873216,0.11226155305102675,1.0,0.1625,0.011712610721588135,0.2911640405654907
SKAB,Automata,2026,0.19409394952873216,0.11226155305102675,1.0,0.1625,0.012238144874572754,0.296284019947052
SKAB,Automata,7,0.19409394952873216,0.11226155305102675,1.0,0.1625,0.011702477931976318,0.295884370803833
SKAB,Automata,999,0.19409394952873216,0.11226155305102675,1.0,0.1625,0.012750744819641113,0.3161364197731018
BATADAL,Automata,42,0.5714285714285714,0.4,1.0,0.4,0.0043027400970458984,0.027956008911132812
BATADAL,Automata,123,0.5714285714285714,0.4,1.0,0.4,0.004251956939697266,0.02694988250732422
BATADAL,Automata,2026,0.5714285714285714,0.4,1.0,0.4,0.004175901412963867,0.026648998260498047
BATADAL,Automata,7,0.5714285714285714,0.4,1.0,0.4,0.004282236099243164,0.026077985763549805
BATADAL,Automata,999,0.5714285714285714,0.4,1.0,0.4,0.004477977752685547,0.027928829193115234
