dataset,model,seed,f1,precision,recall,accuracy,training_time_sec,inference_time_sec
BATADAL,LSTM,42,0.3333333333333333,0.2,1.0,0.2,0.34072327613830566,0.0019011497497558594
BATADAL,LSTM,123,0.3333333333333333,0.2,1.0,0.2,0.2773621082305908,0.003379344940185547
BATADAL,LSTM,2026,0.3333333333333333,0.2,1.0,0.2,0.2795372009277344,0.0020999908447265625
BATADAL,LSTM,7,0.36363636363636365,0.2222222222222222,1.0,0.3,0.2406940460205078,0.0023899078369140625
BATADAL,LSTM,999,0.36363636363636365,0.2222222222222222,1.0,0.3,0.25730419158935547,0.002161264419555664
BATADAL,GRU,42,0.5714285714285714,0.4,1.0,0.7,0.6259629726409912,0.005279064178466797
BATADAL,GRU,123,0.5714285714285714,0.4,1.0,0.7,0.4770071506500244,0.005347013473510742
BATADAL,GRU,2026,0.5,0.3333333333333333,1.0,0.6,0.48859429359436035,0.00506901741027832
BATADAL,GRU,7,0.5,0.3333333333333333,1.0,0.6,0.4922008514404297,0.0054569244384765625
BATADAL,GRU,999,0.3333333333333333,0.2,1.0,0.2,0.47455382347106934,0.005136966705322266
BATADAL,CNN,42,0.6666666666666666,0.5,1.0,0.8,0.1250159740447998,0.0011949539184570312
BATADAL,CNN,123,0.5,0.5,0.5,0.8,0.11962199211120605,0.0023241043090820312
BATADAL,CNN,2026,0.4,0.25,1.0,0.4,0.0825490951538086,0.001332998275756836
BATADAL,CNN,7,0.6666666666666666,1.0,0.5,0.9,0.12206912040710449,0.0012590885162353516
BATADAL,CNN,999,0.5,0.3333333333333333,1.0,0.6,0.11682987213134766,0.001271963119506836
SKAB,LSTM,42,0.23549057649667404,0.1447972972972973,0.8392857142857143,0.39375000000000004,0.4057040214538574,0.004621624946594238
SKAB,LSTM,123,0.2304540567308051,0.1607142857142857,0.7321428571428572,0.4375,0.3362162113189697,0.00423431396484375
SKAB,LSTM,2026,0.23749426725036482,0.15220734126984126,0.7678571428571428,0.45,0.3297576308250427,0.0039310455322265625
SKAB,LSTM,7,0.2792891390452366,0.18670112781954884,0.7678571428571429,0.525,0.37328290939331055,0.00403594970703125
SKAB,LSTM,999,0.2621951219512195,0.22144607843137254,0.625,0.58125,0.41319137811660767,0.004708051681518555
SKAB,GRU,42,0.198642438833319,0.11975533524446569,0.9285714285714286,0.225,0.789454460144043,0.011322259902954102
SKAB,GRU,123,0.19786863999478416,0.11562847608453837,0.9642857142857143,0.21875,0.7485147714614868,0.011208593845367432
SKAB,GRU,2026,0.24664483790120462,0.15467342342342344,0.9642857142857143,0.3125,0.8191772699356079,0.011998355388641357
SKAB,GRU,7,0.24126878868258178,0.1498114754893873,0.9642857142857143,0.325,0.8509733080863953,0.011799216270446777
SKAB,GRU,999,0.24962626026455811,0.15802125506072873,0.8392857142857143,0.4,0.7670612931251526,0.012042045593261719
SKAB,CNN,42,0.28612483530961796,0.2143162393162393,0.7678571428571428,0.6125,0.26928216218948364,0.0036109089851379395
SKAB,CNN,123,0.27482802377613036,0.18283371040723984,0.8035714285714286,0.525,0.19406193494796753,0.00358426570892334
SKAB,CNN,2026,0.2336512533706182,0.17330369162265713,0.8214285714285714,0.41250000000000003,0.22223550081253052,0.002915501594543457
SKAB,CNN,7,0.27349230430103344,0.19246700879765394,0.9285714285714286,0.375,0.21731841564178467,0.0033068060874938965
SKAB,CNN,999,0.31899590315198934,0.21509009009009009,0.8392857142857143,0.5625,0.210182785987854,0.002749502658843994
BATADAL,LSTM,42,0.3333333333333333,0.2,1.0,0.2,0.3581111431121826,0.0020990371704101562
BATADAL,LSTM,123,0.3333333333333333,0.2,1.0,0.2,0.22726988792419434,0.001886129379272461
BATADAL,LSTM,2026,0.3333333333333333,0.2,1.0,0.2,0.228363037109375,0.0018389225006103516
BATADAL,LSTM,7,0.36363636363636365,0.2222222222222222,1.0,0.3,0.26958274841308594,0.002107858657836914
BATADAL,LSTM,999,0.36363636363636365,0.2222222222222222,1.0,0.3,0.2507631778717041,0.0022110939025878906
BATADAL,GRU,42,0.5714285714285714,0.4,1.0,0.7,0.4983208179473877,0.004599094390869141
BATADAL,GRU,123,0.5714285714285714,0.4,1.0,0.7,0.48027801513671875,0.004974842071533203
BATADAL,GRU,2026,0.5,0.3333333333333333,1.0,0.6,0.5222988128662109,0.005238771438598633
BATADAL,GRU,7,0.5,0.3333333333333333,1.0,0.6,0.4905242919921875,0.004448890686035156
BATADAL,GRU,999,0.3333333333333333,0.2,1.0,0.2,0.4765498638153076,0.004354000091552734
BATADAL,CNN,42,0.6666666666666666,0.5,1.0,0.8,0.13109612464904785,0.0013518333435058594
BATADAL,CNN,123,0.5,0.5,0.5,0.8,0.09105205535888672,0.0013470649719238281
BATADAL,CNN,2026,0.4,0.25,1.0,0.4,0.08307981491088867,0.0014178752899169922
BATADAL,CNN,7,0.6666666666666666,1.0,0.5,0.9,0.11020302772521973,0.0012090206146240234
BATADAL,CNN,999,0.5,0.3333333333333333,1.0,0.6,0.09577083587646484,0.001332998275756836
