dataset,model,noise_scale,orig_f1,orig_precision,orig_recall,noisy_f1,noisy_precision,noisy_recall,unseen_detection_rate,unseen_mapping_accuracy,unseen_count
SKAB,Automata,0.1,0.23529411764705882,0.13333333333333333,1.0,0.23529411764705882,0.13333333333333333,1.0,0.967741935483871,0.7419354838709677,31
SKAB,Automata,0.2,0.23529411764705882,0.13333333333333333,1.0,0.23529411764705882,0.13333333333333333,1.0,0.967741935483871,0.7419354838709677,31
SKAB,LSTM,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SKAB,LSTM,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SKAB,GRU,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SKAB,GRU,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SKAB,CNN,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SKAB,CNN,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BATADAL,Automata,0.1,0.5714285714285714,0.4,1.0,0.5714285714285714,0.4,1.0,0.9090909090909091,0.6363636363636364,11
BATADAL,Automata,0.2,0.5714285714285714,0.4,1.0,0.5714285714285714,0.4,1.0,0.9090909090909091,0.6363636363636364,11
BATADAL,LSTM,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BATADAL,LSTM,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BATADAL,GRU,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BATADAL,GRU,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BATADAL,CNN,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BATADAL,CNN,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
