dataset,parameter,value,f1,precision,recall,accuracy
SKAB,window_size,3,0.05405405405405406,0.02777777777777778,1.0,0.05405405405405406
SKAB,window_size,4,0.0,0.0,0.0,0.4166666666666667
SKAB,window_size,5,0.0,0.0,0.0,0.22857142857142856
SKAB,window_size,6,0.058823529411764705,0.030303030303030304,1.0,0.058823529411764705
SKAB,alphabet_size,3,0.06666666666666667,0.034482758620689655,1.0,0.06666666666666667
SKAB,alphabet_size,4,0.08333333333333333,0.043478260869565216,1.0,0.26666666666666666
SKAB,alphabet_size,5,0.07142857142857142,0.037037037037037035,1.0,0.13333333333333333
SKAB,alphabet_size,6,0.06666666666666667,0.034482758620689655,1.0,0.06666666666666667
BATADAL,window_size,3,0.6153846153846154,0.4444444444444445,1.0,0.7058823529411765
BATADAL,window_size,4,0.3333333333333333,0.25,0.5,0.5
BATADAL,window_size,5,0.3333333333333333,0.25,0.5,0.4666666666666667
BATADAL,window_size,6,0.47058823529411764,0.3076923076923077,1.0,0.35714285714285715
BATADAL,alphabet_size,3,0.6153846153846154,0.4444444444444445,1.0,0.5
BATADAL,alphabet_size,4,0.6153846153846154,0.4444444444444445,1.0,0.5
BATADAL,alphabet_size,5,0.5714285714285714,0.4,1.0,0.4
BATADAL,alphabet_size,6,0.6153846153846154,0.4444444444444445,1.0,0.5
